"","co2","temperature","humidity","door","motion","fp2","occupancy","weekday","hour"
"102",1015,22.21,45.58,1421451,1442724,"non_detection","non_detection","Thursday",9
"103",1015,22.21,45.58,1481444,1502730,"non_detection","non_detection","Thursday",9
"104",1015,22.21,45.58,1541433,1562714,"non_detection","non_detection","Thursday",9
"105",1015,22.08,46.26,1601438,1622716,"non_detection","non_detection","Thursday",9
"106",1015,22.08,46.26,1661433,1682727,"non_detection","detection","Thursday",9
"107",1009,22.08,46.26,28134,29262,"detection","detection","Thursday",9
"108",1009,22.08,46.26,88123,26350,"detection","non_detection","Thursday",9
"109",1009,22.08,46.26,148143,26819,"detection","detection","Thursday",9
"110",1009,22.08,46.26,208135,28739,"non_detection","non_detection","Thursday",9
"111",1009,22.08,46.26,51337,88730,"non_detection","non_detection","Thursday",9
"112",1037,22.08,46.26,111333,148732,"non_detection","non_detection","Thursday",9
"113",1037,22.08,46.26,171326,208733,"non_detection","non_detection","Thursday",9
"114",1037,22.08,46.26,231337,268737,"non_detection","non_detection","Thursday",9
"115",1037,22.08,46.26,291331,328730,"non_detection","non_detection","Thursday",9
"116",1037,22.08,46.26,351324,388734,"non_detection","non_detection","Thursday",9
"117",1044,22.08,46.26,411840,449228,"non_detection","non_detection","Thursday",9
"118",1044,22.08,46.26,471349,508757,"non_detection","non_detection","Thursday",9
"119",1044,22.08,46.26,531446,568839,"non_detection","non_detection","Thursday",9
"120",1044,22.08,46.26,591325,628729,"non_detection","non_detection","Thursday",9
"121",1044,22.08,46.26,651356,688752,"non_detection","non_detection","Thursday",10
"122",1035,22.08,46.26,711350,748748,"non_detection","non_detection","Thursday",10
"123",1035,22.08,46.26,771367,808747,"non_detection","non_detection","Thursday",10
"124",1035,22.08,46.26,831361,868741,"non_detection","non_detection","Thursday",10
"125",1035,22.08,46.26,891377,928751,"non_detection","non_detection","Thursday",10
"126",1035,22.08,46.26,951353,988743,"non_detection","non_detection","Thursday",10
"127",1029,22.08,46.26,1011383,1048765,"non_detection","non_detection","Thursday",10
"128",1029,22.08,46.26,1071359,1108749,"non_detection","non_detection","Thursday",10
"129",1029,22.08,46.26,1131335,1168740,"non_detection","non_detection","Thursday",10
"130",1029,22.08,46.26,1191318,1228729,"non_detection","non_detection","Thursday",10
"131",1029,22.08,46.26,1251353,1288735,"non_detection","non_detection","Thursday",10
"132",1024,22.08,46.26,1311337,1348738,"non_detection","non_detection","Thursday",10
"133",1024,22.08,46.26,1371386,1408770,"non_detection","non_detection","Thursday",10
"134",1024,22.08,46.26,1431366,1468739,"non_detection","non_detection","Thursday",10
"135",1024,22.08,46.26,1491553,1528932,"non_detection","non_detection","Thursday",10
"136",1024,22.08,46.26,1551354,1588745,"non_detection","non_detection","Thursday",10
"137",1022,22.08,46.26,1611323,1648729,"non_detection","non_detection","Thursday",10
"138",1022,22.08,46.26,1671566,1708974,"non_detection","non_detection","Thursday",10
"139",1022,22.08,46.26,1731378,1768741,"non_detection","non_detection","Thursday",10
"140",1022,22.08,46.26,1791326,1828729,"non_detection","non_detection","Thursday",10
"141",1022,22.08,46.26,1851337,1888738,"non_detection","non_detection","Thursday",10
"142",1022,22.08,46.26,1911328,1948736,"non_detection","non_detection","Thursday",10
"143",1022,22.08,46.26,1971345,2008735,"non_detection","non_detection","Thursday",10
"144",1022,22.08,46.26,2031337,2068741,"non_detection","non_detection","Thursday",10
"145",1022,22.08,46.26,2091334,2128732,"non_detection","non_detection","Thursday",10
"146",1022,21.69,46.26,2151336,2188743,"non_detection","non_detection","Thursday",10
"147",1016,21.69,46.26,2211478,2248875,"non_detection","non_detection","Thursday",10
"148",1016,21.69,46.26,2271331,2308737,"non_detection","non_detection","Thursday",10
"149",1016,21.69,46.26,2331371,2368752,"non_detection","non_detection","Thursday",10
"150",1016,21.69,46.26,2391337,2428736,"detection","detection","Thursday",10
"151",1016,21.69,46.26,33218,37526,"detection","detection","Thursday",10
"152",1026,21.69,46.26,93239,97503,"detection","detection","Thursday",10
"153",1026,21.69,46.26,153317,32339,"detection","detection","Thursday",10
"154",1026,21.69,46.26,213268,17912,"detection","detection","Thursday",10
"155",1026,21.69,46.26,273204,77851,"detection","detection","Thursday",10
"156",1026,21.69,46.26,333207,137851,"detection","detection","Thursday",10
"157",1076,21.69,46.26,393182,16873,"detection","detection","Thursday",10
"158",1076,21.69,46.26,453205,76876,"detection","detection","Thursday",10
"159",1076,21.73,46.46,513244,136914,"detection","detection","Thursday",10
"160",1076,21.73,46.46,574208,45006,"detection","detection","Thursday",10
"161",1076,21.73,46.46,633246,103997,"detection","detection","Thursday",10
"162",1124,21.73,46.46,693244,164030,"detection","detection","Thursday",10
"163",1124,21.73,46.46,753201,15415,"detection","detection","Thursday",10
"164",1124,21.73,46.46,813289,75407,"detection","detection","Thursday",10
"165",1124,21.73,46.46,873215,135422,"detection","detection","Thursday",10
"166",1124,21.73,46.46,933226,195431,"detection","detection","Thursday",10
"167",1162,21.73,46.46,993230,255444,"detection","detection","Thursday",10
"168",1162,21.73,46.46,1053244,315429,"detection","detection","Thursday",10
"169",1162,21.73,46.46,1113207,375425,"detection","detection","Thursday",10
"170",1162,21.73,46.46,1173210,435439,"detection","detection","Thursday",10
"171",1162,21.73,46.46,19604,38286,"detection","non_detection","Thursday",10
"172",1191,21.73,46.46,79624,98302,"detection","non_detection","Thursday",10
"173",1191,21.73,46.46,139623,158288,"detection","non_detection","Thursday",10
"174",1191,21.73,46.46,199744,218362,"detection","non_detection","Thursday",10
"175",1191,21.73,46.46,259614,278287,"detection","non_detection","Thursday",10
"176",1191,21.73,46.46,319625,338285,"detection","non_detection","Thursday",10
"177",1168,21.73,46.46,379637,398317,"detection","non_detection","Thursday",10
"178",1168,21.73,46.46,439668,458295,"detection","non_detection","Thursday",10
"179",1168,21.73,46.46,499611,518290,"detection","non_detection","Thursday",10
"180",1168,21.73,46.46,559606,578291,"detection","non_detection","Thursday",10
"181",1168,21.73,46.46,619621,638289,"detection","non_detection","Thursday",11
"182",1144,21.73,46.46,679641,698288,"detection","non_detection","Thursday",11
"183",1144,21.73,46.46,739644,758303,"detection","non_detection","Thursday",11
"184",1144,21.73,46.46,799696,818326,"detection","non_detection","Thursday",11
"185",1144,21.73,46.46,860262,878357,"detection","non_detection","Thursday",11
"186",1144,21.73,46.46,920156,938831,"detection","non_detection","Thursday",11
"187",1120,21.73,46.46,979689,998339,"detection","non_detection","Thursday",11
"188",1120,21.73,46.46,1039644,1058286,"detection","non_detection","Thursday",11
"189",1120,21.73,46.46,1099603,1118290,"detection","non_detection","Thursday",11
"190",1120,21.73,46.46,1159624,1178288,"detection","non_detection","Thursday",11
"191",1120,21.73,46.46,7142,7834,"detection","detection","Thursday",11
"192",1624,21.73,46.46,67172,8387,"detection","non_detection","Thursday",11
"193",1624,21.73,46.46,31712,68495,"non_detection","non_detection","Thursday",11
"194",1624,21.73,46.46,91632,128395,"non_detection","non_detection","Thursday",11
"195",1624,21.73,46.46,151638,188379,"non_detection","non_detection","Thursday",11
"196",1624,21.73,46.46,211612,248391,"non_detection","non_detection","Thursday",11
"197",1085,21.73,46.46,277027,313806,"non_detection","non_detection","Thursday",11
"198",1085,21.73,46.46,331639,368397,"non_detection","non_detection","Thursday",11
"199",1085,21.73,46.46,391599,428376,"non_detection","non_detection","Thursday",11
"200",1085,21.73,46.46,451604,488385,"non_detection","non_detection","Thursday",11
"201",1085,21.73,46.46,511601,548390,"non_detection","non_detection","Thursday",11
"202",1044,21.73,46.46,571723,608480,"non_detection","non_detection","Thursday",11
"203",1044,21.73,46.46,631589,668375,"non_detection","non_detection","Thursday",11
"204",1044,21.73,46.46,691612,728380,"non_detection","non_detection","Thursday",11
"205",1044,21.73,46.46,751613,788383,"non_detection","non_detection","Thursday",11
"206",1044,21.73,46.46,811573,848375,"non_detection","non_detection","Thursday",11
"207",1006,21.73,46.46,871674,908378,"non_detection","non_detection","Thursday",11
"208",1006,21.73,46.46,931635,968408,"non_detection","non_detection","Thursday",11
"209",1006,21.73,46.46,992696,1029487,"non_detection","non_detection","Thursday",11
"210",1006,21.73,46.46,1051637,1088412,"non_detection","non_detection","Thursday",11
"211",1006,21.73,46.46,1112234,1149007,"non_detection","non_detection","Thursday",11
"212",972,21.73,46.46,1171639,1208400,"non_detection","non_detection","Thursday",11
"213",972,21.73,46.46,1231620,1268411,"non_detection","non_detection","Thursday",11
"214",972,21.69,46.48,1292612,1328392,"non_detection","non_detection","Thursday",11
"215",972,21.69,46.48,1351611,1388395,"non_detection","non_detection","Thursday",11
"216",972,21.69,46.48,1411614,1448393,"non_detection","non_detection","Thursday",11
"217",946,21.69,46.48,1471617,1508380,"non_detection","non_detection","Thursday",11
"218",946,21.69,46.48,1531630,1568382,"non_detection","non_detection","Thursday",11
"219",946,21.69,46.48,1591592,1628381,"non_detection","non_detection","Thursday",11
"220",946,21.69,46.48,1651640,1688376,"non_detection","non_detection","Thursday",11
"221",946,21.69,46.48,1712295,1749071,"non_detection","non_detection","Thursday",11
"222",912,21.69,46.48,1771673,1808420,"non_detection","non_detection","Thursday",11
"223",912,21.69,46.48,1831625,1868406,"non_detection","non_detection","Thursday",11
"224",912,21.69,46.48,1891608,1928382,"non_detection","non_detection","Thursday",11
"225",912,21.69,46.48,1951712,1988423,"non_detection","non_detection","Thursday",11
"226",912,21.69,46.48,2011604,2048379,"non_detection","non_detection","Thursday",11
"227",868,21.69,46.48,2071636,2108413,"non_detection","non_detection","Thursday",11
"228",868,21.69,46.48,2131608,2168386,"non_detection","non_detection","Thursday",11
"229",868,21.69,46.48,2192300,2229073,"non_detection","non_detection","Thursday",11
"230",868,21.69,46.48,2251629,2288408,"non_detection","non_detection","Thursday",11
"231",868,21.69,46.48,2312571,2348390,"non_detection","non_detection","Thursday",11
"232",834,21.69,46.48,2371820,2408599,"non_detection","non_detection","Thursday",11
"233",834,21.69,46.48,2432114,2468874,"non_detection","non_detection","Thursday",11
"234",834,21.69,46.48,2491636,2528399,"non_detection","non_detection","Thursday",11
"235",834,21.69,46.48,2551633,2588394,"non_detection","non_detection","Thursday",11
"236",834,21.69,46.48,2611639,2648406,"non_detection","non_detection","Thursday",11
"237",788,21.69,46.48,2672098,2708875,"non_detection","non_detection","Thursday",11
"238",788,21.69,46.48,2731715,2768390,"non_detection","non_detection","Thursday",11
"239",788,21.69,46.48,2792196,2828924,"non_detection","non_detection","Thursday",11
"240",788,21.69,46.48,2851652,2888391,"non_detection","non_detection","Thursday",11
"241",759,21.69,46.48,2912113,2948892,"non_detection","non_detection","Thursday",12
"242",759,21.69,46.48,2971626,3008397,"non_detection","non_detection","Thursday",12
"243",759,21.69,46.48,3031665,3068410,"non_detection","non_detection","Thursday",12
"244",759,21.69,46.48,3091683,3128378,"non_detection","non_detection","Thursday",12
"245",759,21.69,46.48,3151617,3188379,"non_detection","non_detection","Thursday",12
"246",759,21.69,46.48,3211840,3248597,"non_detection","non_detection","Thursday",12
"247",722,21.69,46.48,3271693,3308452,"non_detection","non_detection","Thursday",12
"248",722,21.69,46.48,3331630,3368410,"non_detection","non_detection","Thursday",12
"249",722,21.69,46.48,3392098,3428863,"non_detection","non_detection","Thursday",12
"250",722,21.69,46.48,3452136,3488393,"non_detection","non_detection","Thursday",12
"251",722,21.69,46.48,3511624,3548391,"non_detection","non_detection","Thursday",12
"252",695,21.69,46.48,3572511,3609041,"non_detection","non_detection","Thursday",12
"253",695,21.69,46.48,3631598,3668383,"non_detection","non_detection","Thursday",12
"254",695,21.69,46.48,3691624,3728381,"non_detection","non_detection","Thursday",12
"255",695,21.69,46.48,3752304,3789047,"non_detection","non_detection","Thursday",12
"256",695,21.69,46.48,3811608,3848399,"non_detection","non_detection","Thursday",12
"257",666,21.69,46.48,3871742,3908489,"non_detection","non_detection","Thursday",12
"258",666,21.69,46.48,3931815,3968600,"non_detection","non_detection","Thursday",12
"259",666,21.69,46.48,3991646,4028389,"non_detection","non_detection","Thursday",12
"260",666,21.69,46.48,4051655,4088396,"non_detection","non_detection","Thursday",12
"261",666,21.69,46.48,4111656,4148422,"non_detection","non_detection","Thursday",12
"262",640,21.69,46.48,4172173,4208398,"non_detection","non_detection","Thursday",12
"263",640,21.69,46.48,4231586,4268374,"non_detection","non_detection","Thursday",12
"264",640,21.69,46.48,4292250,4328394,"non_detection","non_detection","Thursday",12
"265",640,21.69,46.48,4351662,4388399,"non_detection","non_detection","Thursday",12
"266",618,21.69,46.48,4411615,4448394,"non_detection","non_detection","Thursday",12
"267",618,21.69,46.48,4471623,4508397,"non_detection","non_detection","Thursday",12
"268",618,21.69,46.48,4531628,4568411,"non_detection","non_detection","Thursday",12
"269",618,21.45,45.31,4591624,4628391,"non_detection","non_detection","Thursday",12
"270",618,21.45,45.31,4651594,4688386,"non_detection","non_detection","Thursday",12
"271",618,21.45,45.31,4712155,4748962,"non_detection","non_detection","Thursday",12
"272",602,21.45,45.31,4772117,4808381,"non_detection","non_detection","Thursday",12
"273",602,21.45,45.31,4831600,4868378,"non_detection","non_detection","Thursday",12
"274",602,21.45,45.31,4891618,4928386,"non_detection","non_detection","Thursday",12
"275",602,21.45,45.31,4951579,4988375,"non_detection","non_detection","Thursday",12
"276",602,21.45,45.31,5011598,5048386,"non_detection","non_detection","Thursday",12
"277",582,21.45,45.31,5071624,5108396,"non_detection","non_detection","Thursday",12
"278",582,21.45,45.31,5131629,5168388,"non_detection","non_detection","Thursday",12
"279",582,21.45,45.31,5191655,5228419,"non_detection","non_detection","Thursday",12
"280",582,21.45,45.31,5251581,5288371,"detection","detection","Thursday",12
"281",582,21.45,45.31,46263,47837,"detection","detection","Thursday",12
"282",579,21.45,45.31,105630,49133,"detection","non_detection","Thursday",12
"283",579,21.45,45.31,165624,50165,"detection","non_detection","Thursday",12
"284",579,21.45,47.69,225706,47843,"detection","detection","Thursday",12
"285",579,21.45,47.69,285648,37533,"detection","non_detection","Thursday",12
"286",579,21.45,47.69,345658,7229,"detection","non_detection","Thursday",12
"287",609,21.45,47.69,406147,67237,"detection","detection","Thursday",12
"288",609,21.45,47.69,465620,127211,"detection","detection","Thursday",12
"289",609,21.45,47.69,15124,25241,"detection","non_detection","Thursday",12
"290",609,21.45,47.69,75153,85260,"detection","non_detection","Thursday",12
"291",609,21.45,47.69,135145,145252,"detection","non_detection","Thursday",12
"292",609,21.45,47.69,195100,205240,"detection","non_detection","Thursday",12
"293",633,21.45,47.69,255109,265235,"detection","non_detection","Thursday",12
"294",633,21.45,47.69,315126,325242,"detection","non_detection","Thursday",12
"295",633,21.45,47.69,375167,385234,"detection","non_detection","Thursday",12
"296",633,21.45,47.69,435105,445234,"detection","non_detection","Thursday",12
"297",626,21.45,47.69,495127,505246,"detection","non_detection","Thursday",12
"298",626,21.45,47.69,555170,565261,"detection","non_detection","Thursday",12
"299",626,21.45,47.69,615168,625272,"detection","non_detection","Thursday",12
"300",626,21.45,47.69,675625,685741,"detection","non_detection","Thursday",12
"301",626,21.45,47.69,735104,745233,"detection","non_detection","Thursday",13
"302",626,21.45,47.69,796142,806271,"detection","non_detection","Thursday",13
"303",626,21.45,47.69,855124,865268,"detection","non_detection","Thursday",13
"304",626,21.45,47.69,915147,925267,"detection","non_detection","Thursday",13
"305",626,21.45,47.69,975879,985747,"detection","non_detection","Thursday",13
"306",626,21.45,47.69,1035157,1045274,"detection","non_detection","Thursday",13
"307",630,21.45,47.69,1095104,1105234,"detection","non_detection","Thursday",13
"308",630,21.45,47.69,1155152,1165260,"detection","non_detection","Thursday",13
"309",630,21.45,47.69,1215175,1225244,"detection","non_detection","Thursday",13
"310",630,21.45,47.69,1275112,1285243,"detection","non_detection","Thursday",13
"311",630,21.45,47.69,1335345,1345268,"detection","non_detection","Thursday",13
"312",639,21.45,47.69,1395813,1405313,"detection","non_detection","Thursday",13
"313",639,21.45,47.69,1455613,1465239,"detection","non_detection","Thursday",13
"314",639,21.45,47.69,1515127,1525255,"detection","non_detection","Thursday",13
"315",639,21.45,47.69,1575163,1585292,"detection","non_detection","Thursday",13
"316",639,21.45,47.69,1635129,1645256,"detection","non_detection","Thursday",13
"317",647,21.45,47.69,1698695,1708284,"detection","non_detection","Thursday",13
"318",647,21.45,47.69,1756229,1765256,"detection","non_detection","Thursday",13
"319",647,21.45,47.69,1815146,1825250,"detection","non_detection","Thursday",13
"320",647,21.45,47.69,1875159,1885247,"detection","non_detection","Thursday",13
"321",647,21.45,47.69,1935175,1945296,"detection","non_detection","Thursday",13
"322",656,21.45,47.69,1995391,2005457,"detection","non_detection","Thursday",13
"323",656,21.45,47.69,2055203,2065256,"detection","non_detection","Thursday",13
"324",656,21.38,47.16,2115644,2125253,"detection","non_detection","Thursday",13
"325",656,21.38,47.16,2176125,2186196,"detection","non_detection","Thursday",13
"326",656,21.38,47.16,2235735,2245813,"detection","non_detection","Thursday",13
"327",666,21.38,47.16,2296164,2306289,"detection","non_detection","Thursday",13
"328",666,21.38,47.16,2355223,2365335,"detection","non_detection","Thursday",13
"329",666,21.38,47.16,2415778,2425256,"detection","non_detection","Thursday",13
"330",666,21.38,47.16,2478849,2485273,"detection","non_detection","Thursday",13
"331",666,21.38,47.16,2535384,2545499,"detection","non_detection","Thursday",13
"332",665,21.38,47.16,2595685,2605269,"detection","non_detection","Thursday",13
"333",665,21.38,47.16,2655137,2665251,"detection","non_detection","Thursday",13
"334",665,21.38,47.16,2715796,2725873,"detection","non_detection","Thursday",13
"335",665,21.38,47.16,2775167,2785262,"detection","non_detection","Thursday",13
"336",665,21.38,47.16,2836194,2845266,"detection","non_detection","Thursday",13
"337",671,21.38,47.16,2895165,2905273,"detection","non_detection","Thursday",13
"338",671,21.38,47.16,2955193,2965244,"detection","non_detection","Thursday",13
"339",671,21.38,47.16,3015271,3025350,"detection","non_detection","Thursday",13
"340",671,21.38,47.16,3075191,3085269,"detection","non_detection","Thursday",13
"341",671,21.38,47.16,5629,3504,"detection","detection","Thursday",13
"342",671,21.38,47.16,52423,63515,"detection","detection","Thursday",13
"343",671,21.38,47.16,112367,40902,"detection","detection","Thursday",13
"344",671,21.38,47.16,172459,27866,"detection","detection","Thursday",13
"345",671,21.38,47.16,232432,28697,"detection","detection","Thursday",13
"346",671,21.38,47.16,292429,12674,"detection","detection","Thursday",13
"347",709,21.38,47.16,352987,9861,"detection","detection","Thursday",13
"348",709,21.38,47.16,412393,69821,"detection","detection","Thursday",13
"349",709,21.38,47.16,472687,39069,"detection","detection","Thursday",13
"350",709,21.38,47.16,533460,41991,"detection","detection","Thursday",13
"351",709,21.38,47.16,594038,34288,"detection","detection","Thursday",13
"352",767,21.38,47.16,652464,34591,"detection","detection","Thursday",13
"353",767,21.38,47.16,712363,31220,"detection","detection","Thursday",13
"354",767,21.38,47.16,772401,4959,"detection","non_detection","Thursday",13
"355",767,21.38,47.16,40274,64966,"detection","non_detection","Thursday",13
"356",767,21.38,47.16,102049,51907,"detection","non_detection","Thursday",13
"357",797,21.38,47.16,161271,110690,"detection","non_detection","Thursday",13
"358",797,21.38,47.16,219785,170724,"detection","non_detection","Thursday",13
"359",797,21.38,47.16,279803,230688,"detection","non_detection","Thursday",13
"360",797,21.38,47.16,340803,291252,"detection","non_detection","Thursday",13
"361",797,21.38,47.16,25534,28361,"detection","detection","Thursday",14
"362",685,21.38,47.16,84342,87841,"detection","detection","Thursday",14
"363",685,21.38,47.16,144465,33403,"detection","detection","Thursday",14
"364",685,21.38,47.16,204877,93323,"detection","detection","Thursday",14
"365",685,21.38,47.16,264333,153339,"detection","detection","Thursday",14
"366",685,21.38,47.16,325072,213308,"detection","detection","Thursday",14
"367",700,21.38,47.16,384498,273474,"detection","detection","Thursday",14
"368",700,21.38,47.16,444315,333304,"detection","detection","Thursday",14
"369",700,21.38,47.16,504367,23316,"detection","detection","Thursday",14
"370",700,21.38,47.16,564871,83264,"detection","non_detection","Thursday",14
"371",700,21.38,47.16,53575,57258,"detection","non_detection","Thursday",14
"372",714,21.38,47.16,112972,117265,"detection","non_detection","Thursday",14
"373",714,21.38,47.16,175968,177259,"detection","detection","Thursday",14
